Country,CODE,Continent,Extinct,Endangered,Near_Threat,Least_Concern,Total
Malaysia,MYS,"South and Southeast Asia",1,531,396,2472,3769
Maldives,MDV,"South and Southeast Asia",0,69,90,632,855
Mali,MLI,"Sub Saharan Africa",1,31,24,931,996
Malta,MLT,Europe,0,27,21,390,469
"Marshall Islands",MHL,Oceania,0,95,125,654,933
Mauritania,MRT,"Sub Saharan Africa",1,69,41,752,934
Mauritius,MUS,"Sub Saharan Africa",44,159,122,677,1098
Mexico,MEX,"North and Central America",31,732,188,3453,4911
Moldova,MDA,"North Asia",1,27,31,410,475
Monaco,MCO,Europe,0,16,9,219,259
Mongolia,MNG,"East Asia",0,36,24,510,579
Montenegro,MNE,Europe,1,83,59,742,950
Morocco,MAR,"North Africa",3,142,67,747,1051
Mozambique,MOZ,"Sub Saharan Africa",0,184,173,2123,2665
Namibia,NAM,"Sub Saharan Africa",1,77,45,1240,1448
Nepal,NPL,"South and Southeast Asia",0,88,66,1250,1468
Netherlands,NLD,Europe,1,29,40,604,705
"New Caledonia",NCL,Oceania,5,234,161,1080,1625
"New Zealand",NZL,Oceania,22,176,56,434,825
Nicaragua,NIC,"North and Central America",1,97,75,1952,2275
Niger,NER,"Sub Saharan Africa",1,28,25,706,765
Nigeria,NGA,"Sub Saharan Africa",1,144,66,1838,2154
Niue,NIU,Oceania,0,50,52,439,579
"Northern Mariana Islands",MNP,Oceania,0,94,90,647,896
Norway,NOR,Europe,0,40,38,546,648
Oman,OMN,"West and Central Asia",0,84,93,873,1152
Pakistan,PAK,"West and Central Asia",0,117,99,1138,1418
Palau,PLW,Oceania,1,173,154,909,1336
Panama,PAN,"North and Central America",0,170,105,2362,2909
"Papua New Guinea",PNG,Oceania,1,327,260,2168,3177
Paraguay,PRY,"South America",3,39,51,953,1076
Peru,PER,"South America",2,325,173,2837,3694
Philippines,PHL,"South and Southeast Asia",0,528,325,2034,3358
Poland,POL,Europe,1,41,50,662,780
Portugal,PRT,Europe,2,175,77,843,1267
"Puerto Rico",PRI,"Caribbean Islands",4,70,26,755,900
Qatar,QAT,"West and Central Asia",0,35,54,438,545
Romania,ROU,Europe,2,80,62,751,955
Rwanda,RWA,"Sub Saharan Africa",1,53,31,896,999
"Saint Kitts and Nevis",KNA,"Caribbean Islands",1,49,18,584,687
"Saint Lucia",LCA,"Caribbean Islands",1,52,22,601,710
"Saint Pierre and Miquelon",SPM,"North America",0,7,8,207,226
"Saint Vincent and the Grenadines",VCT,"Caribbean Islands",1,49,20,611,717
Samoa,WSM,Oceania,0,88,90,671,929
"San Marino",SMR,Europe,0,1,5,56,64
"Sao Tome and Principe",STP,"Sub Saharan Africa",0,43,10,212,323
"Saudi Arabia",SAU,"West and Central Asia",1,116,147,1055,1425
Senegal,SEN,"Sub Saharan Africa",1,95,51,1127,1364
Serbia,SRB,Europe,0,51,53,654,777
Seychelles,SYC,"Sub Saharan Africa",20,373,121,759,1349
"Sierra Leone",SLE,"Sub Saharan Africa",0,100,68,1177,1440
Singapore,SGP,"South and Southeast Asia",1,229,232,1199,1789
Slovakia,SVK,Europe,0,38,51,629,757
Slovenia,SVN,Europe,0,118,49,825,1060
"Solomon Islands",SLB,Oceania,2,221,198,1136,1696
Somalia,SOM,"Sub Saharan Africa",0,122,148,1475,1896
"South Africa",ZAF,"Sub Saharan Africa",5,411,173,2141,3005
"South Sudan",SSD,"Sub Saharan Africa",0,26,23,1182,1252
Spain,ESP,Europe,2,338,198,1241,2159
"Sri Lanka",LKA,"South and Southeast Asia",20,289,181,1225,1848
Sudan,SDN,"Sub Saharan Africa",1,107,137,1687,2041
Suriname,SUR,"South America",0,50,48,1328,1496
Swaziland,SWZ,"Sub Saharan Africa",0,23,17,747,793
Sweden,SWE,Europe,0,31,44,601,701
Switzerland,CHE,Europe,6,58,63,677,857
Tajikistan,TJK,"West and Central Asia",0,29,17,411,474
Thailand,THA,"South and Southeast Asia",2,445,375,2868,4215
Togo,TGO,"Sub Saharan Africa",0,54,38,1159,1319
Tonga,TON,Oceania,2,70,73,669,871
"Trinidad and Tobago",TTO,"Caribbean Islands",0,63,32,1064,1210
Tunisia,TUN,"North Africa",12,76,38,608,796
Turkey,TUR,"West and Central Asia",4,267,93,1056,1530
Turkmenistan,TKM,"West and Central Asia",1,45,24,529,629
Tuvalu,TUV,Oceania,0,93,121,522,780
Uganda,UGA,"Sub Saharan Africa",1,136,65,1745,2074
Ukraine,UKR,"North Asia",3,70,53,760,953
"United Arab Emirates",ARE,"West and Central Asia",0,48,61,601,757
"United Kingdom",GBR,Europe,2,71,51,619,795
"United States",USA,"North America",236,1019,346,3755,5908
Uruguay,URY,"South America",0,81,41,588,769
Uzbekistan,UZB,"West and Central Asia",0,37,22,447,523
Vanuatu,VUT,Oceania,1,127,140,861,1215
"Virgin Islands",VGB,"Caribbean Islands",2,41,16,550,642
Yemen,YEM,"West and Central Asia",2,125,159,1082,1503
Zambia,ZMB,"Sub Saharan Africa",0,63,40,1720,1898
Zimbabwe,ZWE,"Sub Saharan Africa",0,43,32,1257,1354
